1|Le'Veon Bell|RB|PIT|11|1
2|Eddie Lacy|RB|GB|7|2
3|Jamaal Charles|RB|KC|9|3
4|Adrian Peterson|RB|MIN|5|4
5|Marshawn Lynch|RB|SEA|9|5
6|Arian Foster|RB|HOU|9|6
7|Antonio Brown|WR|PIT|11|1
8|C.J. Anderson|RB|DEN|7|7
9|Matt Forte|RB|CHI|7|8
10|DeMarco Murray|RB|PHI|8|9
11|Demaryius Thomas|WR|DEN|7|2
12|LeSean McCoy|RB|BUF|8|10
13|Rob Gronkowski|TE|NE|4|1
14|Dez Bryant|WR|DAL|6|3
15|Odell Beckham Jr.|WR|NYG|11|4
16|Jordy Nelson|WR|GB|7|5
17|Julio Jones|WR|ATL|10|6
18|Calvin Johnson|WR|DET|9|7
19|A.J. Green|WR|CIN|7|8
20|Aaron Rodgers|QB|GB|7|1
21|Alshon Jeffery|WR|CHI|7|9
22|Randall Cobb|WR|GB|7|10
23|T.Y. Hilton|WR|IND|10|11
24|Jeremy Hill|RB|CIN|7|11
25|Mark Ingram|RB|NO|11|12
26|Andrew Luck|QB|IND|10|2
27|Mike Evans|WR|TB|6|12
28|Emmanuel Sanders|WR|DEN|7|13
29|Alfred Morris|RB|WAS|8|13
30|Lamar Miller|RB|MIA|5|14
31|Kelvin Benjamin|WR|CAR|5|14
32|DeAndre Hopkins|WR|HOU|9|15
33|Jimmy Graham|TE|SEA|9|2
34|Carlos Hyde|RB|SF|10|15
35|Justin Forsett|RB|BAL|9|16
36|Brandin Cooks|WR|NO|11|16
37|Russell Wilson|QB|SEA|9|3
38|Melvin Gordon|RB|SD|10|17
39|Peyton Manning|QB|DEN|7|4
40|Jonathan Stewart|RB|CAR|5|18
41|Jordan Matthews|WR|PHI|8|17
42|Julian Edelman|WR|NE|4|18
43|Frank Gore|RB|IND|10|19
44|Drew Brees|QB|NO|11|5
45|Sammy Watkins|WR|BUF|8|19
46|Todd Gurley|RB|STL|6|20
47|Joique Bell|RB|DET|9|21
48|Keenan Allen|WR|SD|10|20
49|Latavius Murray|RB|OAK|6|22
50|DeSean Jackson|WR|WAS|8|21
51|T.J. Yeldon|RB|JAC|8|23
52|Tevin Coleman|RB|ATL|10|24
53|Andre Ellington|RB|ARI|9|25
54|Giovani Bernard|RB|CIN|7|26
55|Rashad Jennings|RB|NYG|11|27
56|C.J. Spiller|RB|NO|11|28
57|Vincent Jackson|WR|TB|6|22
58|Amari Cooper|WR|OAK|6|23
59|Golden Tate|WR|DET|9|24
60|Andre Johnson|WR|IND|10|25
61|Brandon Marshall|WR|NYJ|5|26
62|Kevin White|WR|CHI|7|27
63|LeGarrette Blount|RB|NE|4|29
64|Greg Olsen|TE|CAR|5|3
65|Isaiah Crowell|RB|CLE|11|30
66|Mike Wallace|WR|MIN|5|28
67|Joseph Randle|RB|DAL|6|31
68|Darren McFadden|RB|DAL|6|32
69|Jeremy Maclin|WR|KC|9|29
70|Ben Roethlisberger|QB|PIT|11|6
71|Travis Kelce|TE|KC|9|4
72|Jarvis Landry|WR|MIA|5|30
73|Allen Robinson|WR|JAC|8|31
74|Eric Decker|WR|NYJ|5|32
75|Chris Ivory|RB|NYJ|5|33
76|Brandon LaFell|WR|NE|4|33
77|Martellus Bennett|TE|CHI|7|5
78|Nelson Agholor|WR|PHI|8|34
79|Ryan Mathews|RB|PHI|8|34
80|Shane Vereen|RB|NYG|11|35
81|Michael Floyd|WR|ARI|9|35
82|Julius Thomas|TE|JAC|8|6
83|Tre Mason|RB|STL|6|36
84|Matt Ryan|QB|ATL|10|7
85|Roddy White|WR|ATL|10|36
86|Martavis Bryant|WR|PIT|11|37
87|Doug Martin|RB|TB|6|37
88|Jason Witten|TE|DAL|6|7
89|Torrey Smith|WR|SF|10|38
90|Ameer Abdullah|RB|DET|9|38
91|Charles Sims|RB|TB|6|39
92|Devonta Freeman|RB|ATL|10|40
93|Bishop Sankey|RB|TEN|4|41
94|Breshad Perriman|WR|BAL|9|39
95|Duke Johnson|RB|CLE|11|42
96|Andre Williams|RB|NYG|11|43
97|Charles Johnson|WR|MIN|5|40
98|Cam Newton|QB|CAR|5|8
99|Lorenzo Taliaferro|RB|BAL|9|44
100|Larry Fitzgerald|WR|ARI|9|41
101|Fred Jackson|RB|BUF|8|45
102|Montee Ball|RB|DEN|7|46
103|DeAngelo Williams|RB|PIT|11|47
104|Knile Davis|RB|KC|9|48
105|Marques Colston|WR|NO|11|42
106|Percy Harvin|WR|BUF|8|43
107|Theo Riddick|RB|DET|9|49
108|Kendall Wright|WR|TEN|4|44
109|Davante Adams|WR|GB|7|45
110|Denard Robinson|RB|JAC|8|50
111|Jerick McKinnon|RB|MIN|5|51
112|Zach Ertz|TE|PHI|8|8
113|Tony Romo|QB|DAL|6|9
114|DeVante Parker|WR|MIA|5|46
115|Cody Latimer|WR|DEN|7|47
116|Dwayne Allen|TE|IND|10|9
117|Tom Brady|QB|NE|4|10
118|Terrance West|RB|CLE|11|52
119|Donte Moncrief|WR|IND|10|48
120|Steve Smith Sr.|WR|BAL|9|49
121|Jordan Cameron|TE|MIA|5|10
122|Reggie Bush|RB|SF|10|53
123|David Cobb|RB|TEN|4|54
124|Jay Ajayi|RB|MIA|5|55
125|Darren Sproles|RB|PHI|8|56
126|Victor Cruz|WR|NYG|11|50
127|Seattle Seahawks|DST|SEA|9|1
128|Danny Woodhead|RB|SD|10|57
129|Buffalo Bills|DST|BUF|8|2
130|Anquan Boldin|WR|SF|10|51
131|David Johnson|RB|ARI|9|58
132|John Brown|WR|ARI|9|52
133|Houston Texans|DST|HOU|9|3
134|St. Louis Rams|DST|STL|6|4
135|James White|RB|NE|4|59
136|Malcom Floyd|WR|SD|10|53
137|Travaris Cadet|RB|NE|4|60
138|Alfred Blue|RB|HOU|9|61
139|Doug Baldwin|WR|SEA|9|54
140|New York Jets|DST|NYJ|5|5
141|Denver Broncos|DST|DEN|7|6
142|Baltimore Ravens|DST|BAL|9|7
143|Miami Dolphins|DST|MIA|5|8
144|Arizona Cardinals|DST|ARI|9|9
145|Daniel Herron|RB|IND|10|62
146|Delanie Walker|TE|TEN|4|11
147|Khiry Robinson|RB|NO|11|63
148|Detroit Lions|DST|DET|9|10
149|Ryan Tannehill|QB|MIA|5|11
150|Dorial Green-Beckham|WR|TEN|4|55
151|Stephen Gostkowski|K|NE|4|1
152|Adam Vinatieri|K|IND|10|2
153|Steven Hauschka|K|SEA|9|3
154|Connor Barth|K|DEN|7|4
155|Justin Tucker|K|BAL|9|5
156|Cody Parkey|K|PHI|8|6
157|Matt Prater|K|DET|9|7
158|Matt Bryant|K|ATL|10|8
159|Dan Bailey|K|DAL|6|9
160|Dan Carpenter|K|BUF|8|10
161|Eli Manning|QB|NYG|11|12
162|Roy Helu|RB|OAK|6|64
163|Stevan Ridley|RB|NYJ|5|65
164|Brian Quick|WR|STL|6|56
165|Cameron Artis-Payne|RB|CAR|5|66
166|Terrance Williams|WR|DAL|6|57
167|Philip Rivers|QB|SD|10|13
168|Matt Jones|RB|WAS|8|67
169|Marqise Lee|WR|JAC|8|58
170|Branden Oliver|RB|SD|10|68
171|Ahmad Bradshaw|RB|FA|0|69
172|Matthew Stafford|QB|DET|9|14
173|Antonio Gates|TE|SD|10|12
174|Pierre Thomas|RB|FA|0|70
175|Pierre Garcon|WR|WAS|8|59
176|Colin Kaepernick|QB|SF|10|15
177|Donald Brown|RB|SD|10|71
178|Marvin Jones|WR|CIN|7|60
179|Sam Bradford|QB|PHI|8|16
180|Chris Johnson|RB|FA|0|72
181|Carson Palmer|QB|ARI|9|17
182|Christine Michael|RB|SEA|9|73
183|Josh Hill|TE|NO|11|13
184|Jaelen Strong|WR|HOU|9|61
185|Jeremy Langford|RB|CHI|7|74
186|Kenny Stills|WR|MIA|5|62
187|Tyler Lockett|WR|SEA|9|63
188|Minnesota Vikings|DST|MIN|5|11
189|New England Patriots|DST|NE|4|12
190|Mason Crosby|K|GB|7|11
191|Teddy Bridgewater|QB|MIN|5|18
192|Shaun Suisham|K|PIT|11|12
193|Jay Cutler|QB|CHI|7|19
194|Buck Allen|RB|BAL|9|75
195|Larry Donnell|TE|NYG|11|14
196|Devin Funchess|WR|CAR|5|64
197|Owen Daniels|TE|DEN|7|15
198|Nick Toon|WR|NO|11|65
199|Damien Williams|RB|MIA|5|76
200|Rueben Randle|WR|NYG|11|66
201|Joe Flacco|QB|BAL|9|20
202|Michael Crabtree|WR|OAK|6|67
203|Dwayne Bowe|WR|CLE|11|68
204|Robert Turbin|RB|SEA|9|77
205|Jordan Reed|TE|WAS|8|16
206|James Starks|RB|GB|7|78
207|Kenny Britt|WR|STL|6|69
208|Devin Smith|WR|NYJ|5|70
209|Trent Richardson|RB|OAK|6|79
210|Mike Davis|RB|SF|10|80
211|Ronnie Hillman|RB|DEN|7|81
212|Zac Stacy|RB|NYJ|5|82
213|Toby Gerhart|RB|JAC|8|83
214|Austin Seferian-Jenkins|TE|TB|6|17
215|Jameis Winston|QB|TB|6|21
216|Kyle Rudolph|TE|MIN|5|18
217|Matt Asiata|RB|MIN|5|84
218|Phillip Dorsett|WR|IND|10|71
219|Jonas Gray|RB|NE|4|85
220|Heath Miller|TE|PIT|11|19
221|Green Bay Packers|DST|GB|7|13
222|Philadelphia Eagles|DST|PHI|8|14
223|Caleb Sturgis|K|MIA|5|13
224|Blair Walsh|K|MIN|5|14
225|Stevie Johnson|WR|SD|10|72
226|Justin Hunter|WR|TEN|4|73
227|Sammie Coates|WR|PIT|11|74
228|Antone Smith|RB|ATL|10|86
229|Cordarrelle Patterson|WR|MIN|5|75
230|Cecil Shorts|WR|HOU|9|76
231|Ka'Deem Carey|RB|CHI|7|87
232|Lance Dunbar|RB|DAL|6|88
233|Cole Beasley|WR|DAL|6|77
234|Andrew Hawkins|WR|CLE|11|78
235|Allen Hurns|WR|JAC|8|79
236|Jacquizz Rodgers|RB|CHI|7|89
237|Greg Jennings|WR|MIA|5|80
238|Markus Wheaton|WR|PIT|11|81
239|Danny Amendola|WR|NE|4|82
240|Jermaine Kearse|WR|SEA|9|83
241|Kendall Hunter|RB|SF|10|90
242|Bobby Rainey|RB|TB|6|91
243|Charles Clay|TE|BUF|8|20
244|Alex Smith|QB|KC|9|22
245|Bernard Pierce|RB|JAC|8|92
246|Jordan Todman|RB|CAR|5|93
247|Chris Conley|WR|KC|9|84
248|Marcus Mariota|QB|TEN|4|23
249|Josh Robinson|RB|IND|10|94
250|Bilal Powell|RB|NYJ|5|95
251|Coby Fleener|TE|IND|10|21
252|Brandon Bolden|RB|NE|4|96
253|Andy Dalton|QB|CIN|7|24
254|Justin Hardy|WR|ATL|10|85
255|Carolina Panthers|DST|CAR|5|15
256|Cleveland Browns|DST|CLE|11|16
257|Phil Dawson|K|SF|10|15
258|Nick Novak|K|SD|10|16
259|Boobie Dixon|RB|BUF|8|97
260|Tyler Gaffney|RB|NE|4|98
261|Robert Griffin|QB|WAS|8|25
262|Benny Cunningham|RB|STL|6|99
263|Jarius Wright|WR|MIN|5|86
264|Chris Polk|RB|HOU|9|100
265|Bryce Brown|RB|BUF|8|101
266|Marlon Brown|WR|BAL|9|87
267|De'Anthony Thomas|RB|KC|9|102
268|Tavon Austin|WR|STL|6|88
269|Dexter McCluster|RB|TEN|4|103
270|Josh Huff|WR|PHI|8|89
271|Robert Woods|WR|BUF|8|90
272|Mike Tolbert|RB|CAR|5|104
273|Eric Ebron|TE|DET|9|22
274|Tyler Eifert|TE|CIN|7|23
275|Albert Wilson|WR|KC|9|91
276|Kenny Bell|WR|TB|6|92
277|Marcel Reece|RB|OAK|6|105
278|Jace Amaro|TE|NYJ|5|24
279|Maxx Williams|TE|BAL|9|25
280|Mohamed Sanu|WR|CIN|7|93
281|Rod Streater|WR|OAK|6|94
282|Storm Johnson|RB|JAC|8|106
283|Stedman Bailey|WR|STL|6|95
284|Chris Thompson|RB|WAS|8|107
285|San Francisco 49ers|DST|SF|10|17
286|Kansas City Chiefs|DST|KC|9|18
287|Chandler Catanzaro|K|ARI|9|17
288|Randy Bullock|K|HOU|9|18
289|Kerwynn Williams|RB|ARI|9|108
290|Karlos Williams|RB|BUF|8|109
291|Silas Redd|RB|WAS|8|110
292|Vernon Davis|TE|SF|10|26
293|Nick Foles|WR|PHI|8|96
294|Riley Cooper|RB|ARI|9|111
295|Stepfan Taylor|WR|NO|11|97
296|Brandon Coleman|RB|PIT|11|112
297|Josh Harris|TE|GB|7|27
298|Richard Rodgers|WR|CLE|11|98
299|Brian Hartline|RB|IND|10|113
300|Vick Ballard|RB|CAR|5|114
